%time SOC Ptotal Psensor1
1850 0.782435960483 0.665 0.7
1860 0.782302391857 0.665 0.7
1870 0.782168820586 0.665 0.7
1880 0.782035246669 0.665 0.7
1890 0.781901670107 0.0095 0.01
1900 0.781899761886 0.0095 0.01
1910 0.781897853667 0.0095 0.01
1920 0.781895945448 0.665 0.7
1930 0.781762366406 0.665 0.7
1940 0.781628784439 0.665 0.7
1950 0.781495199826 0.665 0.7
1960 0.781361612567 0.665 0.7
1970 0.781228022662 0.665 0.7
1980 0.781094430109 0.665 0.7
1990 0.78096083491 0.0095 0.01
2000 0.780945757601 0.0095 0.01
2010 0.780943849113 0.0095 0.01
2020 0.780941940624 0.665 0.7
2030 0.780821511771 0.665 0.7
2040 0.780687911163 0.665 0.7
2050 0.780554307908 0.665 0.7
2060 0.780420702005 0.665 0.7
2070 0.780287093453 0.665 0.7
2080 0.780153482253 0.665 0.7
2090 0.780019868404 0.665 0.7
2100 0.779991618306 0.0095 0.01
2110 0.779989709548 0.0095 0.01
2120 0.779987800789 0.0095 0.01
2130 0.779880525814 0.665 0.7
2140 0.779746906553 0.665 0.7
2150 0.779613284642 0.665 0.7
2160 0.779479660082 0.665 0.7
2170 0.779346032871 0.665 0.7
2180 0.779212403009 0.665 0.7
2190 0.779078770496 0.665 0.7
2200 0.779037343901 0.0095 0.01
2210 0.779035434872 0.0095 0.01
2220 0.779033525843 0.0095 0.01
2230 0.77893940844 0.665 0.7
2240 0.77880577051 0.665 0.7
2250 0.778672129929 0.665 0.7
2260 0.778538486695 0.665 0.7
2270 0.778404840808 0.665 0.7
2280 0.778271192268 0.665 0.7
2290 0.778137541074 0.665 0.7
2300 0.77808293427 0.0095 0.01
2310 0.778081024971 0.0095 0.01
2320 0.778079115671 0.0095 0.01
2330 0.777998159534 0.665 0.7
2340 0.777864502919 0.665 0.7
2350 0.777730843649 0.665 0.7
2360 0.777597181723 0.665 0.7
2370 0.777463517142 0.665 0.7
2380 0.777329849905 0.665 0.7
2390 0.777196180012 0.665 0.7
2400 0.77712838928 0.0095 0.01
2410 0.77712647971 0.0095 0.01
2420 0.777124570139 0.0095 0.01
2430 0.777056778968 0.665 0.7
2440 0.776923103647 0.665 0.7
2450 0.776789425668 0.665 0.7
2460 0.776655745031 0.665 0.7
2470 0.776522061736 0.665 0.7
2480 0.776388375781 0.665 0.7
2490 0.776254687167 0.665 0.7
2500 0.776173708781 0.0095 0.01
2510 0.776171798939 0.0095 0.01
2520 0.776169889097 0.0095 0.01
2530 0.776115266596 0.665 0.7
2540 0.775981572548 0.665 0.7
2550 0.775847875838 0.665 0.7
2560 0.775714176467 0.665 0.7
2570 0.775580474433 0.665 0.7
2580 0.775446769738 0.665 0.7
2590 0.775313062379 0.665 0.7
2600 0.775218892605 0.0095 0.01
2610 0.775216982492 0.0095 0.01
2620 0.775215072378 0.0095 0.01
2630 0.775173622257 0.665 0.7
2640 0.775039909456 0.665 0.7
2650 0.774906193991 0.665 0.7
2660 0.774772475861 0.665 0.7
2670 0.774638755065 0.665 0.7
2680 0.774505031603 0.665 0.7
2690 0.774371305474 0.665 0.7
2700 0.774263940569 0.0095 0.01
2710 0.774262030184 0.0095 0.01
2720 0.774260119798 0.0095 0.01
2730 0.774231845773 0.665 0.7
2740 0.774098114195 0.665 0.7
2750 0.773964379947 0.665 0.7
2760 0.773830643031 0.665 0.7
2770 0.773696903445 0.665 0.7
2780 0.773563161189 0.665 0.7
2790 0.773429416261 0.665 0.7
2800 0.773308852473 0.0095 0.01
2810 0.773306941815 0.0095 0.01
2820 0.773305031157 0.0095 0.01
2830 0.773289936953 0.665 0.7
2840 0.773156186567 0.665 0.7
2850 0.773022433509 0.665 0.7
2860 0.772888677777 0.665 0.7
2870 0.772754919372 0.665 0.7
2880 0.772621158291 0.665 0.7
2890 0.772487394536 0.665 0.7
2900 0.772353628104 0.0095 0.01
2910 0.77235171717 0.0095 0.01
2920 0.772349806239 0.0095 0.01
2930 0.772347895307 0.665 0.7
2940 0.772214126364 0.665 0.7
2950 0.772080354464 0.665 0.7
2960 0.771946579885 0.665 0.7
2970 0.771812802628 0.665 0.7
2980 0.771679022692 0.665 0.7
2990 0.771545240076 0.665 0.7
3000 0.771411454778 0.0095 0.01
3010 0.771396356014 0.0095 0.01
3020 0.77139444481 0.0095 0.01
3030 0.771392533605 0.665 0.7
3040 0.77127193336 0.665 0.7
3050 0.771138142584 0.665 0.7
3060 0.771004349125 0.665 0.7
3070 0.770870552983 0.665 0.7
3080 0.770736754157 0.665 0.7
3090 0.770602952645 0.665 0.7
3100 0.770469148448 0.665 0.7
3110 0.7704408581 0.0095 0.01
3120 0.770438946622 0.0095 0.01
3130 0.770437035143 0.0095 0.01
3140 0.770329607313 0.665 0.7
3150 0.770195797627 0.665 0.7
3160 0.770061985252 0.665 0.7
3170 0.769928170189 0.665 0.7
3180 0.769794352436 0.665 0.7
3190 0.769660531993 0.665 0.7
3200 0.769526708858 0.665 0.7
3210 0.769485223163 0.0095 0.01
3220 0.76948331141 0.0095 0.01
3230 0.769481399657 0.0095 0.01
3240 0.76938714797 0.665 0.7
3250 0.769253319335 0.665 0.7
3260 0.769119488007 0.665 0.7
3270 0.768985653984 0.665 0.7
3280 0.768851817266 0.665 0.7
3290 0.768717977853 0.665 0.7
3300 0.768584135742 0.665 0.7
3310 0.768529450922 0.0095 0.01
3320 0.768527538895 0.0095 0.01
3330 0.768525626867 0.0095 0.01
3340 0.768444555058 0.665 0.7
3350 0.768310707436 0.665 0.7
3360 0.768176857114 0.665 0.7
3370 0.768043004092 0.665 0.7
3380 0.767909148369 0.665 0.7
3390 0.767775289944 0.665 0.7
3400 0.767641428816 0.665 0.7
3410 0.767573541084 0.0095 0.01
3420 0.767571628781 0.0095 0.01
3430 0.767569716477 0.0095 0.01
3440 0.767501828294 0.665 0.7
3450 0.767367961642 0.665 0.7
3460 0.767234092285 0.665 0.7
3470 0.767100220222 0.665 0.7
3480 0.766966345451 0.665 0.7
3490 0.766832467972 0.665 0.7
3500 0.766698587784 0.665 0.7
3510 0.766617493335 0.0095 0.01
3520 0.766615580756 0.0095 0.01
3530 0.766613668177 0.0095 0.01
3540 0.766558967378 0.665 0.7
3550 0.766425081653 0.665 0.7
3560 0.766291193217 0.665 0.7
3570 0.766157302067 0.665 0.7
3580 0.766023408204 0.665 0.7
3590 0.765889511627 0.665 0.7
3600 0.765755612333 0.665 0.7
3610 0.765661307351 0.0095 0.01
3620 0.765659394495 0.0095 0.01
3630 0.765657481639 0.0095 0.01
3640 0.765615971996 0.665 0.7
3650 0.765482067153 0.665 0.7
3660 0.765348159591 0.665 0.7
3670 0.765214249309 0.665 0.7
3680 0.765080336307 0.665 0.7
3690 0.764946420584 0.665 0.7
3700 0.764812502138 0.665 0.7
3710 0.76470498279 0.0095 0.01
3720 0.764703069657 0.0095 0.01
3730 0.764701156523 0.0095 0.01
3740 0.764672841821 0.665 0.7
3750 0.764538917811 0.665 0.7
3760 0.764404991075 0.665 0.7
3770 0.764271061614 0.665 0.7
3780 0.764137129424 0.665 0.7
3790 0.764003194507 0.665 0.7
3800 0.763869256859 0.665 0.7
3810 0.763748519297 0.0095 0.01
3820 0.763746605885 0.0095 0.01
3830 0.763744692473 0.0095 0.01
3840 0.76372957651 0.665 0.7
3850 0.763595633284 0.665 0.7
3860 0.763461687325 0.665 0.7
3870 0.763327738633 0.665 0.7
3880 0.763193787205 0.665 0.7
3890 0.763059833042 0.665 0.7
3900 0.762925876143 0.665 0.7
3910 0.762791916505 0.0095 0.01
3920 0.76279000281 0.0095 0.01
3930 0.762788089119 0.0095 0.01
3940 0.762786175427 0.665 0.7
3950 0.762652213214 0.665 0.7
3960 0.76251824798 0.665 0.7
3970 0.762384280004 0.665 0.7
3980 0.762250309287 0.665 0.7
3990 0.762116335826 0.665 0.7
4000 0.76198235962 0.665 0.7
4010 0.761848380669 0.0095 0.01
4020 0.761833260046 0.0095 0.01
4030 0.761831346075 0.0095 0.01
4040 0.761829432103 0.665 0.7
4050 0.761708657229 0.665 0.7
4060 0.761574672666 0.665 0.7
4070 0.761440685354 0.665 0.7
4080 0.761306695292 0.665 0.7
4090 0.761172702478 0.665 0.7
4100 0.761038706912 0.665 0.7
4110 0.760904708593 0.665 0.7
4120 0.760876377193 0.0095 0.01
4130 0.760874462941 0.0095 0.01
4140 0.760872548689 0.0095 0.01
4150 0.760764964946 0.665 0.7
