%time SOC Ptotal Psensor1 Psensor2 Pmcu Prf Ppv Ipv
1130 0.78593860092 0.4285 2 0.01 0.01 0.01 1.6 0.457142857143
1140 0.785773994075 0.4285 2 0.01 0.01 0.01 1.6 0.457142857143
1150 0.785609401591 -1.4715 0.1 0.01 0.01 0.01 1.6 0.457142857143
1160 0.785788085205 -1.4715 0.1 0.01 0.01 0.01 1.6 0.457142857143
1170 0.786004878132 -1.4715 0.1 0.01 0.01 0.01 1.6 0.457142857143
1180 0.786221639887 -1.4715 0.1 0.01 0.01 0.01 1.6 0.457142857143
1190 0.786438370474 -1.4715 0.1 0.01 0.01 0.01 1.6 0.457142857143
1200 0.786655069898 1.1125 2 0.15 0.3 0.3 0.2 0.457142857143
1210 0.786212937346 1.8285 2 0.01 0.01 0.01 0.2 0.0571428571429
1220 0.785767260644 1.8285 2 0.01 0.01 0.01 0.2 0.0571428571429
1230 0.785321604248 1.8285 2 0.01 0.01 0.01 0.2 0.0571428571429
1240 0.784875968159 1.8285 2 0.01 0.01 0.01 0.2 0.0571428571429
1250 0.784430352375 -0.0715 0.1 0.01 0.01 0.01 0.2 0.0571428571429
1260 0.784328120377 -0.0715 0.1 0.01 0.01 0.01 0.2 0.0571428571429
1270 0.784264047013 -0.0715 0.1 0.01 0.01 0.01 0.2 0.0571428571429
1280 0.784199980191 -0.0715 0.1 0.01 0.01 0.01 0.2 0.0571428571429
1290 0.784135919913 -0.0715 0.1 0.01 0.01 0.01 0.2 0.0571428571429
1300 0.784071866176 2.5125 2 0.15 0.3 0.3 0 0.0571428571429
1310 0.783541495605 2.0285 2 0.01 0.01 0.01 0 0
1320 0.783055772396 2.0285 2 0.01 0.01 0.01 0 0
1330 0.782570068422 2.0285 2 0.01 0.01 0.01 0 0
1340 0.782084383678 2.0285 2 0.01 0.01 0.01 0 0
1350 0.781598718157 0.1285 0.1 0.01 0.01 0.01 0 0
1360 0.781456585487 0.1285 0.1 0.01 0.01 0.01 0 0
1370 0.781352631631 0.1285 0.1 0.01 0.01 0.01 0 0
1380 0.781248687771 0.1285 0.1 0.01 0.01 0.01 0 0
1390 0.781144753908 0.1285 0.1 0.01 0.01 0.01 0 0
1400 0.78104083004 2.7125 2 0.15 0.3 0.3 0.4 0
1410 0.780566818486 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
1420 0.780161584171 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
1430 0.779756370704 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
1440 0.779351178079 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
1450 0.778946006289 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
1460 0.778884492256 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
1470 0.778861163174 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
1480 0.778837836615 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
1490 0.778814512577 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
1500 0.77879119106 2.3125 2 0.15 0.3 0.3 1 0.114285714286
1510 0.778429820285 1.0285 2 0.01 0.01 0.01 1 0.285714285714
1520 0.778145285421 1.0285 2 0.01 0.01 0.01 1 0.285714285714
1530 0.777860770271 1.0285 2 0.01 0.01 0.01 1 0.285714285714
1540 0.777576274831 1.0285 2 0.01 0.01 0.01 1 0.285714285714
1550 0.777291799098 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
1560 0.777351046523 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
1570 0.77744847136 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
1580 0.77754588392 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
1590 0.777643284202 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
1600 0.77774067221 1.7125 2 0.15 0.3 0.3 1.4 0.285714285714
1610 0.777467801455 0.6285 2 0.01 0.01 0.01 1.4 0.4
1620 0.777263734139 0.6285 2 0.01 0.01 0.01 1.4 0.4
1630 0.777059683397 0.6285 2 0.01 0.01 0.01 1.4 0.4
1640 0.776855649226 0.6285 2 0.01 0.01 0.01 1.4 0.4
1650 0.776651631623 -1.2715 0.1 0.01 0.01 0.01 1.4 0.4
1660 0.77679135479 -1.2715 0.1 0.01 0.01 0.01 1.4 0.4
1670 0.776969245318 -1.2715 0.1 0.01 0.01 0.01 1.4 0.4
1680 0.777147111299 -1.2715 0.1 0.01 0.01 0.01 1.4 0.4
1690 0.777324952735 -1.2715 0.1 0.01 0.01 0.01 1.4 0.4
1700 0.777502769633 1.3125 2 0.15 0.3 0.3 1.8 0.4
1710 0.777310315448 0.2285 2 0.01 0.01 0.01 1.8 0.514285714286
1720 0.777186660795 0.2285 2 0.01 0.01 0.01 1.8 0.514285714286
1730 0.777063017663 0.2285 2 0.01 0.01 0.01 1.8 0.514285714286
1740 0.77693938605 0.2285 2 0.01 0.01 0.01 1.8 0.514285714286
1750 0.776815765955 -1.6715 0.1 0.01 0.01 0.01 1.8 0.514285714286
1760 0.777035861215 -1.6715 0.1 0.01 0.01 0.01 1.8 0.514285714286
1770 0.777294107315 -1.6715 0.1 0.01 0.01 0.01 1.8 0.514285714286
1780 0.777552314696 -1.6715 0.1 0.01 0.01 0.01 1.8 0.514285714286
1790 0.777810483367 -1.6715 0.1 0.01 0.01 0.01 1.8 0.514285714286
1800 0.778068613336 0.9125 2 0.15 0.3 0.3 0.8 0.514285714286
1810 0.777731396226 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
1820 0.77740670978 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
1830 0.777082043881 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
1840 0.776757398526 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
1850 0.776432773708 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
1860 0.776451922784 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
1870 0.776509260254 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
1880 0.77656659084 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
1890 0.776623914541 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
1900 0.77668123136 1.9125 2 0.15 0.3 0.3 0.6 0.228571428571
1910 0.776271730652 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
1920 0.775906927121 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
1930 0.775542144471 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
1940 0.775177382692 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
1950 0.774812641777 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
1960 0.774791764037 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
